invoice_line_id,track_id,album_title,artist_name,track_name,media_type,unit_price,qty
2201,2931,Achtung Baby,U2,So Cruel,MPEG audio file,$0.99,1
2189,2823,"Battlestar Galactica, Season 3",Battlestar Galactica,Collaborators,Protected MPEG-4 video file,$1.99,1
2190,2832,"Battlestar Galactica, Season 3",Battlestar Galactica,The Woman King,Protected MPEG-4 video file,$1.99,1
2191,2841,"Heroes, Season 1",Heroes,One Giant Leap,Protected MPEG-4 video file,$1.99,1
2192,2850,"Heroes, Season 1",Heroes,The Fix,Protected MPEG-4 video file,$1.99,1
2199,2913,"Lost, Season 1",Lost,Deus Ex Machina,Protected MPEG-4 video file,$1.99,1
2198,2904,"Lost, Season 1",Lost,Outlaws,Protected MPEG-4 video file,$1.99,1
2195,2877,"Lost, Season 1",Lost,The Moth,Protected MPEG-4 video file,$1.99,1
2194,2868,"Lost, Season 1",Lost,Walkabout,Protected MPEG-4 video file,$1.99,1
2200,2922,"Lost, Season 2",Lost,"Live Together, Die Alone, Pt. 1",Protected MPEG-4 video file,$1.99,1
2193,2859,"Lost, Season 2",Lost,"Man of Science, Man of Faith (Premiere)",Protected MPEG-4 video file,$1.99,1
2197,2895,"Lost, Season 3",Lost,Par Avion,Protected MPEG-4 video file,$1.99,1
2196,2886,"Lost, Season 3",Lost,Stranger In a Strange Land,Protected MPEG-4 video file,$1.99,1
2188,2814,Volume Dois,Titãs,Insensível,MPEG audio file,$0.99,1
